City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
465,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
469,Ixtapa,MX,86.23,broken clouds,20.7,-105.2,hotel la terminal
473,Bethel,US,84.78,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
474,Lorengau,PG,81.63,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
475,Pachino,IT,80.98,clear sky,36.7186,15.0907,Il Veliero
481,Mola Di Bari,IT,85.59,broken clouds,41.0609,17.0873,Hotel Gabbiano
499,Altamont,US,89.78,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
500,La Concordia,NI,83.71,broken clouds,13.1953,-86.1667,Parque de Ferias
503,Vilhena,BR,86.22,few clouds,-12.7406,-60.1458,Hotel Mirage
512,Fort Abbas,PK,86.95,heavy intensity rain,29.1925,72.8536,AsAd's House
514,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
518,Douentza,ML,89.62,overcast clouds,14.9951,-2.9517,Ogomono Doumbo
521,Tarauaca,BR,84.56,broken clouds,-8.1614,-70.7656,Flat Temporada
538,Sterling,US,86.9,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
539,Glace Bay,CA,80.78,broken clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
550,Sinnamary,GF,80.78,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
556,Nagram,IN,89.65,overcast clouds,26.6167,81.1333,Ichchha Khera
563,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
564,Saint-Lo,FR,81.03,broken clouds,49.1162,-1.0903,Hôtel Mercure Saint-Lô Centre
565,Orocue,CO,82.44,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
568,Port Hawkesbury,CA,80.91,few clouds,45.6169,-61.3485,MacKenzie House Tourist Home B&B
569,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
570,Shelburne,CA,82.11,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
572,Rodos,GR,89.26,clear sky,36.4408,28.2225,Spirit of the Knights Boutique Hotel
577,Podgorica,ME,82.18,clear sky,42.4411,19.2636,Hotel Podgorica
579,Nago,JP,83.25,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
584,Santarem,BR,87.93,few clouds,-2.4431,-54.7083,Hotel Imperador
586,Sao Joao Da Barra,BR,80.69,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
587,Sur,OM,86.13,light rain,22.5667,59.5289,Sur Plaza Hotel
595,Kijang,KR,80.33,light rain,35.2442,129.2139,Samyang Beach Villa
599,Lahaina,US,83.95,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
600,Mapiripan,CO,82.85,moderate rain,2.8892,-72.1256,Monserrate
607,Tshikapa,CD,84.16,overcast clouds,-6.4167,20.8,Tatem beach
615,Afzalgarh,IN,88.74,clear sky,29.4,78.6833,RGRK AGRICULTURE FARM
626,Muborak,UZ,88.65,clear sky,39.2553,65.1528,Muborak temiryoʻl vakzali
635,Lompoc,US,80.85,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
640,Carutapera,BR,81.39,broken clouds,-1.195,-46.02,Lidera
642,Si Sa Ket,TH,81.86,overcast clouds,14.8333,104.3333,ร้านค้า อัญชัน
644,Biograd Na Moru,HR,83.1,clear sky,43.9433,15.4519,Villa Maimare
645,Negombo,LK,82.45,heavy intensity rain,7.2083,79.8358,Hotel Sunset Beach
653,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
655,Pontes E Lacerda,BR,85.41,clear sky,-15.2261,-59.3353,Hotel Bressan
656,Ibia,BR,85.46,scattered clouds,-19.4783,-46.5389,Hotel Triângulo
660,Caucaia,BR,84.15,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
668,Sioux Lookout,CA,84.27,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
669,Umm Lajj,SA,86.02,overcast clouds,25.0213,37.2685,Moon light Furnished Units
677,Batticaloa,LK,81.66,overcast clouds,7.7102,81.6924,Grand Star Guest House
680,Petoa,HN,88.77,broken clouds,15.2667,-88.2833,Hospedaje Rosalina
681,Anupgarh,IN,87.24,heavy intensity rain,29.1911,73.2086,Kushal & Vishal DTH Kappa Internet Service
687,Basco,PH,84.83,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
690,Nantucket,US,82.54,clear sky,41.2835,-70.0995,Jared Coffin House
693,Oriximina,BR,89.67,few clouds,-1.7656,-55.8661,Pousada Tia Amélia
695,Mantua,IT,87.04,clear sky,45.1667,10.7833,Hotel la Favorita
697,Mangrol,IN,80.69,overcast clouds,21.1167,70.1167,Hotel The Royal Honours
699,Sarangani,PH,81.3,overcast clouds,5.4033,125.4636,JVL Inn and Cafeteria
708,Cayenne,GF,87.84,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
709,Wahiawa,US,80.92,overcast clouds,21.5028,-158.0236,The Inn At Schofield
714,Labelle,US,86.02,light rain,26.7617,-81.4384,Port LaBelle Inn
715,Uthal,PK,84.87,moderate rain,25.8072,66.6219,Al-Mustafa Hotel
